rank_sales;game_name;publisher;developer;platform;platform_name;global_sales;game_genre;meta_critic_score;meta_user_score;release_day;release_month;release_year
8;Grand Theft Auto V;Rockstar Games;Rockstar North;PS4;PlayStation 4;19390000.0;Action;97;8.3;18;11;2014
20;Grand Theft Auto V;Rockstar Games;Rockstar North;XOne;PlayStation 4;8720000.0;Action;97;8.3;18;11;2014
8;Grand Theft Auto V;Rockstar Games;Rockstar North;PS4;Xbox One;19390000.0;Action;97;7.8;18;11;2014
20;Grand Theft Auto V;Rockstar Games;Rockstar North;XOne;Xbox One;8720000.0;Action;97;7.8;18;11;2014
44;Grand Theft Auto III;Rockstar Games;Rockstar North;All;PlayStation 2;;Action-Adventure;97;8.4;22;10;2001
15;Grand Theft Auto IV;Rockstar Games;Rockstar North;X360;Xbox 360;11090000.0;Action;98;7.9;29;4;2008
16;Grand Theft Auto IV;Rockstar Games;Rockstar North;PS3;Xbox 360;10570000.0;Action;98;7.9;29;4;2008
15;Grand Theft Auto IV;Rockstar Games;Rockstar North;X360;PlayStation 3;11090000.0;Action;98;7.8;29;4;2008
16;Grand Theft Auto IV;Rockstar Games;Rockstar North;PS3;PlayStation 3;10570000.0;Action;98;7.8;29;4;2008
81;Grand Theft Auto: Liberty City Stories;Rockstar Games;Rockstar Leeds/North;All;PSP		;;Action-Adventure;88;7.8;24;10;2005
27;Uncharted 2: Among Thieves;Sony Computer Entertainment;Naughty Dog;PS3;PlayStation 3;6740000.0;Action;96;8.8;13;10;2009
29;Red Dead Redemption;Rockstar Games;Rockstar San Diego;X360;PlayStation 3;6500000.0;Action;95;8.9;18;5;2010
43;Red Dead Redemption;Rockstar Games;Rockstar San Diego;All;PlayStation 3;;Action-Adventure;95;8.9;18;5;2010
29;Red Dead Redemption;Rockstar Games;Rockstar San Diego;X360;Xbox 360;6500000.0;Action;95;9.0;18;5;2010
43;Red Dead Redemption;Rockstar Games;Rockstar San Diego;All;Xbox 360;;Action-Adventure;95;9.0;18;5;2010
35;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;Wii;Wii		;5660000.0;Action;80;8.7;6;11;2007
50;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;DS;Wii		;4770000.0;Action;80;8.7;6;11;2007
132;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;X360;Wii		;2590000.0;Action;80;8.7;6;11;2007
152;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;PS3;Wii		;2310000.0;Action;80;8.7;6;11;2007
35;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;Wii;DS		;5660000.0;Action;80;6.5;6;11;2007
50;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;DS;DS		;4770000.0;Action;80;6.5;6;11;2007
132;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;X360;DS		;2590000.0;Action;80;6.5;6;11;2007
152;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;PS3;DS		;2310000.0;Action;80;6.5;6;11;2007
35;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;Wii;Xbox 360;5660000.0;Action;80;8.1;6;11;2007
50;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;DS;Xbox 360;4770000.0;Action;80;8.1;6;11;2007
132;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;X360;Xbox 360;2590000.0;Action;80;8.1;6;11;2007
152;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;PS3;Xbox 360;2310000.0;Action;80;8.1;6;11;2007
35;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;Wii;PlayStation 3;5660000.0;Action;80;7.3;6;11;2007
50;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;DS;PlayStation 3;4770000.0;Action;80;7.3;6;11;2007
132;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;X360;PlayStation 3;2590000.0;Action;80;7.3;6;11;2007
152;LEGO Star Wars: The Complete Saga;LucasArts;Traveller's Tales;PS3;PlayStation 3;2310000.0;Action;80;7.3;6;11;2007
36;Assassin's Creed II;Ubisoft;Ubisoft Montreal;PS3;PlayStation 3;5570000.0;Action;91;8.7;17;11;2009
40;Assassin's Creed II;Ubisoft;Ubisoft Montreal;X360;PlayStation 3;5300000.0;Action;91;8.7;17;11;2009
73;Assassin's Creed II;Ubisoft;Ubisoft Montreal;All;PlayStation 3;;Action-Adventure;91;8.7;17;11;2009
36;Assassin's Creed II;Ubisoft;Ubisoft Montreal;PS3;Xbox 360;5570000.0;Action;90;8.8;17;11;2009
40;Assassin's Creed II;Ubisoft;Ubisoft Montreal;X360;Xbox 360;5300000.0;Action;90;8.8;17;11;2009
73;Assassin's Creed II;Ubisoft;Ubisoft Montreal;All;Xbox 360;;Action-Adventure;90;8.8;17;11;2009
37;Assassin's Creed;Ubisoft;Ubisoft Montreal;X360;Xbox 360;5550000.0;Action;81;7.6;13;11;2007
48;Assassin's Creed;Ubisoft;Ubisoft Montreal;PS3;Xbox 360;4830000.0;Action;81;7.6;13;11;2007
5;Assassin's Creed;Ubisoft;Ubisoft;Series;Xbox 360;;Action-Adventure;81;7.6;13;11;2007
79;Assassin's Creed;Ubisoft;Ubisoft Montreal;All;Xbox 360;;Action-Adventure;81;7.6;13;11;2007
37;Assassin's Creed;Ubisoft;Ubisoft Montreal;X360;PlayStation 3;5550000.0;Action;81;7.3;13;11;2007
48;Assassin's Creed;Ubisoft;Ubisoft Montreal;PS3;PlayStation 3;4830000.0;Action;81;7.3;13;11;2007
5;Assassin's Creed;Ubisoft;Ubisoft;Series;PlayStation 3;;Action-Adventure;81;7.3;13;11;2007
79;Assassin's Creed;Ubisoft;Ubisoft Montreal;All;PlayStation 3;;Action-Adventure;81;7.3;13;11;2007
