meta_game_name;meta_platform;meta_critic_score;meta_user_score;meta_genre;meta_multiplayer;release_month;release_day;release_year
Grand Theft Auto V;PlayStation 4;97;8.3;Action Adventure;1;11; 18;2014
Grand Theft Auto: Vice City;PlayStation 2;95;8.8;Action Adventure;0;10; 27;2002
Grand Theft Auto III;PlayStation 2;97;8.4;Action Adventure;0;10; 22;2001
Grand Theft Auto IV;Xbox 360;98;7.9;Action Adventure;0;4; 29;2008
Grand Theft Auto IV;PlayStation 3;98;7.8;Action Adventure;0;4; 29;2008
Grand Theft Auto V;Xbox One;97;7.8;Action Adventure;1;11; 18;2014
Grand Theft Auto: Liberty City Stories;PSP		;88;7.8;Action Adventure;0;10; 24;2005
Uncharted 2: Among Thieves;PlayStation 3;96;8.8;Action Adventure;0;10; 13;2009
Red Dead Redemption;PlayStation 3;95;8.9;Action;1;5; 18;2010
Red Dead Redemption;Xbox 360;95;9.0;Action;1;5; 18;2010
LEGO Star Wars: The Complete Saga;Wii		;80;8.7;Action;0;11;  6;2007
Assassin's Creed II;PlayStation 3;91;8.7;Action Adventure;0;11; 17;2009
Assassin's Creed;Xbox 360;81;7.6;Action Adventure;0;11; 13;2007
Batman: Arkham City;PlayStation 3;96;8.8;Action Adventure;0;10; 18;2011
Assassin's Creed II;Xbox 360;90;8.8;Action Adventure;0;11; 17;2009
Resident Evil 5;PlayStation 3;84;7.4;Action Adventure;1;3; 13;2009
Grand Theft Auto: Vice City Stories;PSP		;86;8.2;Action Adventure;0;10; 31;2006
Uncharted: Drake's Fortune;PlayStation 3;88;7.9;Action Adventure;0;11; 16;2007
Assassin's Creed;PlayStation 3;81;7.3;Action Adventure;0;11; 13;2007
LEGO Star Wars: The Complete Saga;DS		;80;6.5;Action;0;11;  6;2007
Batman: Arkham City;Xbox 360;94;8.8;Action Adventure;0;10; 18;2011
The Lord of the Rings: The Two Towers;PlayStation 2;82;8.1;Action;0;10; 21;2002
Tomb Raider;PlayStation		;91;8.4;Action Adventure;0;11; 15;1996
Spider-Man: The Movie;PlayStation 2;76;7.7;Action Adventure;0;4; 15;2002
Batman: Arkham Asylum;PlayStation 3;91;8.8;Action Adventure;0;8; 25;2009
Assassin's Creed: Revelations;PlayStation 3;80;7.6;Action Adventure;1;11; 15;2011
Assassin's Creed: Revelations;Xbox 360;80;7.3;Action Adventure;1;11; 15;2011
Assassin's Creed Unity;PlayStation 4;70;5.7;Action Adventure;1;11; 11;2014
Far Cry 5;PlayStation 4;81;6.8;Action;1;3; 27;2018
Grand Theft Auto: Liberty City Stories;PlayStation 2;78;7.9;Action Adventure;0;6;  6;2006
The Getaway;PlayStation 2;72;7.0;Action Adventure;0;1; 19;2003
Batman: Arkham Asylum;Xbox 360;92;8.7;Action Adventure;0;8; 25;2009
Assassin's Creed: Brotherhood;Xbox 360;89;8.4;Action Adventure;1;11; 16;2010
Resident Evil 5;Xbox 360;83;7.4;Action Adventure;1;3; 13;2009
Grand Theft Auto 2;PlayStation		;70;7.7;Action Adventure;0;10; 25;1999
Spider-Man 2;PlayStation 2;80;8.7;Action Adventure;0;6; 28;2004
Watch Dogs 2;PlayStation 4;82;7.6;Action Adventure;1;11; 15;2016
Star Wars Episode III: Revenge of the Sith;PlayStation 2;60;7.4;Action Adventure;1;5;  4;2005
The Lord of the Rings: The Return of the King;PlayStation 2;85;8.6;Action;1;11;  5;2003
True Crime: Streets of LA;PlayStation 2;77;7.8;Action Adventure;0;11;  3;2003
Enter the Matrix;PlayStation 2;62;8.2;Action Adventure;0;5; 14;2003
Spider-Man;PlayStation		;87;8.7;Action Adventure;0;8; 30;2000
Resident Evil 6;PlayStation 3;74;5.7;Action Adventure;1;10;  2;2012
Saints Row 2;Xbox 360;81;8.2;Action Adventure;1;10; 14;2008
Tom Clancy's Splinter Cell;Xbox		;93;8.6;Action Adventure;0;11; 17;2002
Hitman 2: Silent Assassin;PlayStation 2;85;8.0;Action Adventure;0;10;  1;2002
Assassin's Creed: Brotherhood;PlayStation 3;90;8.3;Action Adventure;1;11; 16;2010
Star Wars: The Force Unleashed;Xbox 360;73;6.8;Action;0;9; 16;2008
Saints Row: The Third;Xbox 360;84;7.7;Action Adventure;0;11; 15;2011
LEGO Star Wars II: The Original Trilogy;PlayStation 2;84;8.7;Action Adventure;1;9; 12;2006
Tom Clancy's Splinter Cell;PlayStation 2;89;7.9;Action Adventure;0;4;  8;2003
LEGO Star Wars: The Complete Saga;Xbox 360;80;8.1;Action;0;11;  6;2007
Saints Row: The Third;PlayStation 3;82;7.8;Action Adventure;1;11; 15;2011
Dead Island;Xbox 360;71;6.9;Action Adventure;1;9;  6;2011
The Incredibles;PlayStation 2;62;7.8;Action Adventure;0;10; 31;2004
Uncharted: The Lost Legacy;PlayStation 4;84;8.0;Action;1;8; 22;2017
LEGO Marvel Super Heroes;Xbox 360;80;7.9;Action Adventure;0;10; 22;2013
LEGO Star Wars: The Complete Saga;PlayStation 3;80;7.3;Action;1;11;  6;2007
Dead Island;PlayStation 3;71;6.7;Action Adventure;1;9;  6;2011
Star Wars: The Force Unleashed;PlayStation 3;71;6.8;Action;0;9; 16;2008
Disney/Pixar Finding Nemo;PlayStation 2;63;5.1;Action Adventure;0;5;  9;2003
Metal Gear Solid: Peace Walker;PSP		;89;8.7;Action Adventure;0;6;  8;2010
The Incredibles;Game Boy Advance		;55;5.3;Action Adventure;0;10; 31;2004
Hitman: Absolution;PlayStation 3;83;7.5;Action Adventure;0;11; 20;2012
Middle-earth: Shadow of War;PlayStation 4;80;4.7;Action Adventure;0;10; 10;2017
Peter Jackson's King Kong: The Official Game of the Movie;PlayStation 2;82;8.4;Action Adventure;0;11; 21;2005
Tenchu: Stealth Assassins;PlayStation		;87;8.7;Action Adventure;0;8; 31;1998
Resident Evil 6;Xbox 360;67;5.2;Action Adventure;1;10;  2;2012
Dishonored 2;PlayStation 4;88;8.2;Action Adventure;0;11; 10;2016
LEGO Marvel Super Heroes;PlayStation 3;82;7.8;Action Adventure;0;10; 22;2013
Grand Theft Auto: San Andreas;Xbox		;93;8.8;Action Adventure;1;6;  7;2005
LEGO Marvel Super Heroes;PlayStation 4;83;7.7;Action Adventure;0;11; 15;2013
inFamous 2;PlayStation 3;83;8.6;Action Adventure;0;6;  7;2011
Star Wars: The Force Unleashed;Wii		;71;8.0;Action;1;9; 16;2008
The Getaway: Black Monday;PlayStation 2;57;7.9;Action Adventure;0;1; 11;2005
Far Cry 5;Xbox One;82;6.9;Action;1;3; 27;2018
50 Cent: Bulletproof;PlayStation 2;47;6.6;Action Adventure;0;11; 17;2005
State of Emergency;PlayStation 2;71;6.3;Action;0;2; 12;2002
Just Cause 2;PlayStation 3;83;8.0;Action Adventure;0;3; 23;2010
For Honor;PlayStation 4;78;6.1;Action Adventure;1;2; 14;2017
Hitman: Absolution;Xbox 360;79;7.2;Action Adventure;0;11; 20;2012
Saints Row IV;Xbox 360;81;6.6;Action Adventure;1;8; 20;2013
Saints Row 2;PlayStation 3;82;8.1;Action Adventure;1;10; 14;2008
Star Wars The Clone Wars: Lightsaber Duels;Wii		;56;6.7;Action Adventure;0;11; 11;2008
Uncharted: Golden Abyss;PlayStation Vita;80;7.5;Action Adventure;0;2; 15;2012
Just Cause 2;Xbox 360;81;8.0;Action Adventure;0;3; 23;2010
Devil May Cry 4;PlayStation 3;84;8.4;Action;0;2;  5;2008
LEGO Pirates of the Caribbean: The Video Game;Wii		;73;7.4;Action Adventure;1;5; 10;2011
Mafia II;Xbox 360;74;8.0;Action Adventure;0;8; 24;2010
Spider-Man 2: Enter: Electro;PlayStation		;74;8.4;Action Adventure;0;10; 19;2001
Pac-Man World 2;PlayStation 2;73;7.7;Action;1;2; 24;2002
Star Wars: The Force Unleashed II;PlayStation 3;63;6.7;Action;0;10; 26;2010
Metal Gear Rising: Revengeance;PlayStation 3;80;8.1;Action Adventure;0;2; 19;2013
Mafia II;PlayStation 3;75;7.9;Action Adventure;0;8; 24;2010
Dead Rising 2;Xbox 360;79;7.1;Action Adventure;1;9; 28;2010
LEGO Star Wars III: The Clone Wars;Xbox 360;75;7.7;Action Adventure;0;3; 22;2011
Tom Clancy's Splinter Cell Pandora Tomorrow;Xbox		;93;8.6;Action Adventure;1;3; 23;2004
Star Wars: The Force Unleashed II;Xbox 360;61;5.9;Action;0;10; 26;2010
Frogger 2: Swampy's Revenge;PlayStation		;77;8.2;Action;1;10; 10;2000
LEGO Star Wars II: The Original Trilogy;PSP		;83;8.1;Action Adventure;1;9; 12;2006
Spider-Man: The Movie;Xbox		;79;7.5;Action;0;4; 15;2002
True Crime: Streets of LA;Xbox		;77;8.0;Action Adventure;0;11;  3;2003
Dead Rising 2;PlayStation 3;80;6.7;Action Adventure;1;9; 28;2010
Metroid: Other M;Wii		;79;6.7;Action;0;8; 31;2010
Watch Dogs 2;Xbox One;81;7.4;Action Adventure;1;11; 15;2016
Devil May Cry 4;Xbox 360;84;8.4;Action;0;2;  5;2008
